Time, Sonar_F, Linear_Velocity_X, Angular_Velocity_Z, Front_Right_Error, Right_Error
9.013, 2.0, 0.6, 45.0337678435058, -0.7714836406707763, -0.8160885572433472
9.026, 2.0, 0.6, 47.627165937423705, -0.7714836406707763, -0.8160885572433472
9.033, 2.0, 0.6, 47.627165937423705, -0.7714836406707763, -0.8160885572433472
9.043, 2.0, 0.6, 47.627165937423705, -0.7714836406707763, -0.8160885572433472
9.07, 2.0, 0.6, 23.385488417117966, -0.7479480314254761, -0.8160885572433472
9.07, 2.0, 0.6, 46.921097660064696, -0.7479480314254761, -0.8160885572433472
9.074, 2.0, 0.6, -135648250533.31982, -0.7279981184005737, -0.8224736452102661
9.09, 2.0, 0.6, 46.514152908325194, -0.7279981184005737, -0.8224736452102661
9.097, 2.0, 0.6, 46.514152908325194, -0.7279981184005737, -0.8224736452102661
9.103, 2.0, 0.6, 57.44308261037226, -0.7279981184005737, -0.8299665451049805
9.113, 2.0, 0.6, 46.738939905166625, -0.7279981184005737, -0.8299665451049805
9.13, 2.0, 0.6, 18.96822097571102, -0.7096765446662903, -0.8213262557983398
9.133, 2.0, 0.6, 45.9300840139389, -0.7096765446662903, -0.8213262557983398
9.143, 2.0, 0.6, 45.9300840139389, -0.7096765446662903, -0.8213262557983398
9.153, 2.0, 0.6, 33.85295691607427, -0.6979511785507202, -0.8213262557983398
9.164, 2.0, 0.6, 54.01614727892017, -0.6979511785507202, -0.8295183181762695
9.173, 2.0, 0.6, 45.82408490180969, -0.6979511785507202, -0.8295183181762695
9.183, 2.0, 0.6, 37.724048321328716, -0.6908528017997742, -0.8295183181762695
9.193, 2.0, 0.6, 54.06713011182704, -0.6908528017997742, -0.8377280235290527
9.241, 2.0, 0.6, 18.962166931856185, -0.6647409009933472, -0.8377280235290527
9.241, 2.0, 0.6, 45.074067735671996, -0.6647409009933472, -0.8377280235290527
9.26, 1.907031536102295, 0.6, 45.074067735671996, -0.6647409009933472, -0.8377280235290527
9.261, 1.907031536102295, 0.6, 33.34857933705139, -0.6436638641357422, -0.8377280235290527
9.271, 1.907031536102295, 0.6, 406.3720109668958, -0.6436638641357422, -0.8738127946853638
9.283, 1.8111191987991333, 0.6, 45.52429976463318, -0.6436638641357422, -0.8738127946853638
9.291, 1.8111191987991333, 0.6, 45.52429976463318, -0.6436638641357422, -0.8738127946853638
9.301, 1.8111191987991333, 0.6, 31.361320640385493, -0.6185537981986999, -0.8878580331802368
9.313, 1.8111191987991333, 0.6, 45.1923549413681, -0.6185537981986999, -0.8878580331802368
9.325, 1.6560170650482178, 0.6, 43.816349927695015, -0.616959969997406, -0.8878580331802368
9.338, 1.5787307024002075, 0.6, 34.02581237246622, -0.6040811347961426, -0.8878580331802368
9.341, 1.5787307024002075, 0.6, 44.75817503929138, -0.6040811347961426, -0.8878580331802368
9.350999999999999, 1.5787307024002075, 0.6, 180.3306180029265, -0.6040811347961426, -0.9281669855117798
9.361, 1.4928888082504272, 0.6, 25.56981387336402, -0.5842776107788086, -0.9281669855117798
9.381, 1.4928888082504272, 0.6, 87.1996277768535, -0.5842776107788086, -0.9687750339508057
9.381, 1.4928888082504272, 0.6, 46.591579341888426, -0.5842776107788086, -0.9687750339508057
9.392, 1.4928888082504272, 0.6, 46.591579341888426, -0.5842776107788086, -0.9687750339508057
9.402, 1.4376755952835083, 0.6, 46.591579341888426, -0.5842776107788086, -0.9687750339508057
9.414, 1.379370927810669, 0.025, -3.141592653589793, -0.5842776107788086, -0.9687750339508057
9.421, 1.379370927810669, 0.025, -3.141592653589793, -0.5842776107788086, -0.9687750339508057
9.431, 1.3202221393585205, 0.025, -3.141592653589793, -0.5842776107788086, -0.9687750339508057
9.445, 1.3202221393585205, 0.025, -3.141592653589793, -0.5842776107788086, -0.9687750339508057
9.453, 1.3202221393585205, 0.025, -3.141592653589793, -0.5842776107788086, -0.9687750339508057
9.461, 1.239489197731018, 0.025, -3.141592653589793, -0.5842776107788086, -0.9687750339508057
9.471, 1.239489197731018, 0.025, -3.141592653589793, -0.5842776107788086, -0.9687750339508057
9.481, 1.239489197731018, 0.025, -3.141592653589793, -0.5842776107788086, -0.9687750339508057
